관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,소계,2013년도 이전,2014년,2015년,2016년
종로,3,3,6,5,115,98,"1,070",413,"1,278","1,070",1002,464,314,211,630
서대문,2,2,5,4,154,124,"1,812",738,"2,056","1,711",962,844,50,68,292
용산,5,5,14,14,194,173,"1,557",587,"2,050","1,704",1624,1368,218,112,398
성북,2,2,2,1,86,71,953,409,"1,194","1,015",1464,1009,78,360,204
동대문,5,5,13,13,173,146,"1,981",814,"2,548","2,227",1294,1070,23,198,579
마포,8,8,14,10,294,247,"2,555",813,"2,983","2,519",574,314,118,169,379
영등포,14,12,22,20,295,183,"2,964",978,"3,572","2,961",904,495,214,195,373
성동,4,4,9,8,126,119,"1,607",597,"1,612","1,395",1062,730,91,241,265
동작,5,5,9,5,285,139,"1,865",661,"1,910","1,587",1091,544,341,103,314
광진,4,4,14,26,240,220,"3,026","1,277","2,625","2,180",707,573,78,53,174
강북,7,8,14,13,153,126,"1,434",618,"2,649","2,348",748,369,120,138,204
금천,3,4,6,6,151,122,"1,567",888,"2,054","1,776",1015,674,51,269,354
중랑,13,12,11,9,187,148,"2,135",829,"2,847","2,407",660,509,121,177,109
강남,3,3,15,12,300,225,"2,411",984,"2,465","2,146",2780,1292,430,584,932
관악,9,8,12,14,320,221,"2,706",827,"3,298","2,642",1496,846,260,390,613
강서,7,8,13,13,262,191,"2,096","1,260","3,207","2,718",884,388,258,184,81
강동,4,3,6,8,156,123,"2,366",789,"2,712","2,248",773,379,99,155,377
구로,8,6,15,11,281,164,"2,335",889,"3,007","2,432",1561,1142,173,246,323
서초,7,4,8,5,334,193,"1,982",905,"1,852","1,607",1930,1406,157,336,398
양천,3,5,6,3,120,105,"1,890",672,"2,509","2,030",2034,1843,142,30,467
송파,11,10,13,10,220,178,"3,239","1,129","3,295","2,786",618,529,21,68,463
노원,10,10,7,7,197,121,"2,193",801,"2,723","2,329",1265,542,57,451,516
은평,1,1,7,5,96,82,"1,095",418,"1,461","1,268",1873,1138,224,278,468
도봉,3,3,9,10,102,106,"1,063",478,"1,487","1,303",485,238,159,42,386
